STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,BOOT,COL_FUSE,DB,DB_SAMEROW,DOUBLE_SECTION_PERIPH,HALF_BANK,HANG,HGDC,MULTI_BANK_2ROW,MULTI_BANK_BA1_SINGLE_DQ,MULTI_BANK_MULTI_DQ,MULTI_BANK_SINGLE_DQ,MULTI_HALFBANK_MULTI_DQ,MULTI_HALFBANK_SINGLE_DQ,QUAD_SECTION_PERIPH,QUINT_SECTION_PERIPH,ROW,ROW_LOCAL,ROW_LOCAL_SWL_ARM,SB,SB_MODSYS,SECTION_FAIL_PERIPH,SECTION_TWO_ROW,SINGLE_BANK,SINGLE_BANK_2CP,SINGLE_BURST_SINGLE_ROW,SYS_EVEN_BURST_BIT,SYS_ODD_BURST_BIT,TRIPLE_SECTION_PERIPH,TWO_ROW_SHORT,UNKNOWN,ALL(DPM),ALL,UIN
SLT,Y6CP,HMB1,202606.0,-,5.9,0.0,0.0,0.0,0.0,0.0,7.4,43.8,7.4,0.0,198.0,0.0,27.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,0.0,0.0,0.0,0.0,0.0,380.1,64.3,169050.2
SLT,Y6CP,HMB1,202607.0,-,0.0,0.0,0.0,0.0,0.0,0.0,8.2,15.9,13.9,0.0,150.9,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,265.5,48.5,182684.5
SLT,Y6CP,HMB1,202608.0,-,0.0,0.0,0.0,0.0,0.0,0.0,10.4,37.4,4.1,0.0,188.5,0.0,37.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,0.0,0.0,351.2,50.5,143809.5
SLT,Y6CP,HMB1,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,0.0,120.8,0.0,45.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,211.3,7.0,33122.0
SLT,Y6CP,HMB1,202610.0,-,0.0,0.0,0.0,0.4,0.0,0.0,13.6,21.6,2.5,0.5,129.9,0.0,14.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,61.0,3.4,0.0,0.0,0.0,0.0,251.4,74.0,294367.0
SLT,Y6CP,HMB1,202611.0,-,0.0,0.0,14.5,0.0,0.0,0.0,12.1,32.5,1.3,0.0,55.4,5.0,2.5,2.4,0.0,0.0,6.3,0.1,4.8,9.7,2.4,0.0,3.2,0.9,0.0,62.2,29.0,4.8,0.0,0.0,0.0,249.3,51.5,206612.5
SLT,Y6CP,HMB1,202612.0,-,0.0,0.0,7.0,0.0,0.0,0.0,31.6,27.7,0.0,0.0,79.7,2.5,0.0,11.7,0.0,0.0,0.1,0.0,0.0,4.7,0.0,0.0,0.0,0.0,4.7,63.3,11.8,2.3,0.0,0.0,0.0,247.0,52.8,213547.8
SLT,Y6CP,HMB1,202613.0,-,0.0,1.9,9.1,3.8,0.0,0.0,10.3,55.2,0.9,0.0,112.1,6.0,3.8,11.3,0.0,0.0,5.9,0.0,0.0,8.4,5.6,3.8,0.0,1.9,0.0,63.2,10.3,4.7,0.0,0.0,0.0,318.0,84.7,266515.8
SLT,Y6CP,HMB1,202614.0,-,6.7,0.0,3.3,0.0,0.0,0.0,25.0,59.0,0.8,0.0,80.7,1.8,0.0,17.7,0.0,0.0,2.5,0.0,0.0,10.0,4.2,3.4,0.0,5.0,0.0,49.9,20.0,3.9,0.0,0.0,0.0,293.8,88.3,300588.5
SLT,Y6CP,HMB1,202615.0,-,0.0,0.0,0.0,0.0,0.0,6.1,30.4,83.4,2.5,0.0,91.8,3.0,0.2,12.1,0.0,0.0,2.0,0.0,0.0,6.1,0.0,6.2,0.0,0.0,0.0,14.3,9.1,0.0,0.0,0.0,0.0,267.1,44.0,164710.0
SLT,Y6CP,QMON,202606.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,6.0,0.0,133.0,0.0,19.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,191.3,32.0,167233.0
SLT,Y6CP,QMON,202607.0,-,0.0,0.0,5.4,0.0,0.0,5.4,0.0,0.0,0.0,0.0,135.1,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,172.9,32.0,185080.0
SLT,Y6CP,QMON,202608.0,-,0.0,0.0,0.0,3.3,0.0,0.0,6.6,0.0,0.0,0.0,130.6,0.0,26.5,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.0,198.4,30.0,151192.0
SLT,Y6CP,QMON,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,1.0,32966.0
